name,bn_name,number_of_bed,union_id,upazila_id,district_id,organization_type,hospital_type,url,lat,lon
Dhaka Medical College Hospital,ঢাকা মেডিকেল কলেজ হাসপাতাল,1700,null,null,47,GOVERNMENT,COLLEGE,null,null,null
Chittagong Medical College Hospital,চট্টগ্রাম মেডিকেল কলেজ হাসপাতাল,1010,null,null,8,GOVERNMENT,COLLEGE,null,null,null
MAG Osmani Medical College Hospital,মাজ ওসমানী মেডিকেল কলেজ হাসপাতাল,900,null,null,36,GOVERNMENT,COLLEGE,null,null,null
Mymensingh Medical College Hospital,ময়মনসিংহ মেডিকেল কলেজ হাসপাতাল,800,null,null,62,GOVERNMENT,COLLEGE,null,null,null
Sher-e-Bangla Medical College Hospital,শেরে বাংলা মেডিকেল কলেজ হাসপাতাল,600,null,null,33,GOVERNMENT,COLLEGE,null,null,null
Sir Salimullh Medical College Hospital,সীর সালিমুল্লা মেডিকেল কলেজ হাসপাতাল,600,null,null,47,GOVERNMENT,COLLEGE,null,null,null
Rajshahi Medical College Hospital,রাজশাহী মেডিকেল কলেজ হাসপাতাল,550,null,null,15,GOVERNMENT,COLLEGE,null,null,null
Rangpur Medical College Hospital,রংপুর মেডিকেল কলেজ হাসপাতাল,1000,null,null,59,GOVERNMENT,COLLEGE,null,null,null
Bogra Medical College Hospital,বগুড়া মেডিকেল কলেজ হাসপাতাল,500,null,null,14,GOVERNMENT,COLLEGE,null,null,null
Shahid Sohorawardi medical college & hospital,শহীদ সোহরাওয়ার্দী মেডিকেল কলেজ এবং হাসপাতাল,375,null,null,47,GOVERNMENT,COLLEGE,null,null,null
Comilla Medical College Hospital,কুমিল্লা মেডিকেল কলেজ হাসপাতাল,500,null,null,1,GOVERNMENT,COLLEGE,null,null,null
Faridpur Medical College Hospital,ফরিদপুর মেডিকেল কলেজ হাসপাতাল,250,null,null,52,GOVERNMENT,COLLEGE,null,null,null
Khulna Medical College Hospital,খুলনা মেডিকেল কলেজ হাসপাতাল,500,null,null,27,GOVERNMENT,COLLEGE,null,null,null
Dinajpur Medical College Hospital,দিনাজপুর মেডিকেল কলেজ হাসপাতাল,250,null,null,54,GOVERNMENT,COLLEGE,null,null,null
Bagerhat Sadar hospital,বাগেরহাট সদর হাসপাতাল,100,null,null,28,GOVERNMENT,DISTRICT,null,null,null
Bandarban Sadar hospital,বান্দরবান সদর হাসপাতাল,100,null,null,11,GOVERNMENT,DISTRICT,null,null,null
Barguna Sadar hospital,বরগুনা সদর হাসপাতাল,100,null,null,35,GOVERNMENT,DISTRICT,null,null,null
General Hospital,জেনারেল হাসপাতাল,100,null,null,33,GOVERNMENT,DISTRICT,null,null,null
Bhola Sadar hospital,ভোলা সদর হাসপাতাল,100,null,null,34,GOVERNMENT,DISTRICT,null,null,null
"250 bed Mohammad Ali Hospital, Bogra","২৫০ বেড মোহাম্মদ আলী হাসপাতাল, বগুড়া",250,null,null,14,GOVERNMENT,DISTRICT,null,null,null
Brahmanbaria Sadar Hospital,ব্রাহ্মণবাড়িয়া সদর হাসপাতাল,250,null,null,3,GOVERNMENT,DISTRICT,null,null,null
Chandpur Sadar hospital,চাঁদপুর সদর হাসপাতাল,200,null,null,6,GOVERNMENT,DISTRICT,null,null,null
Chapai Nowabganj Sadar hospital,চাঁপাইনবাবগঞ্জ সদর হাসপাতাল,100,null,null,18,GOVERNMENT,DISTRICT,null,null,null
Chittagong General Hospital,চট্টগ্রাম জেনারেল হাসপাতাল,150,null,null,8,GOVERNMENT,DISTRICT,null,null,null
Chuadanga Sadar hospital,চুয়াডাঙ্গা সদর হাসপাতাল,100,null,null,24,GOVERNMENT,DISTRICT,null,null,null
General Hospital,জেনারেল হাসপাতাল,100,null,null,1,GOVERNMENT,DISTRICT,null,null,null
"Adhunic Sadar Hospital, Coxs Bazar","আধুনিক সদর হাসপাতাল, কক্সবাজার",250,null,null,9,GOVERNMENT,DISTRICT,null,null,null
Dinajpur Sadar Hospital,দিনাজপুর সদর হাসপাতাল,250,null,null,54,GOVERNMENT,DISTRICT,null,null,null
General Hospital,জেনারেল হাসপাতাল,100,null,null,52,GOVERNMENT,DISTRICT,null,null,null
Feni Sadar Hospital,ফেনী সদর হাসপাতাল,250,null,null,2,GOVERNMENT,DISTRICT,null,null,null
Gaibanda Sadar hospital,গাইবান্দা সদর হাসপাতাল,100,null,null,57,GOVERNMENT,DISTRICT,null,null,null
Gazipur Sadar Hospital,গাজীপুর সদর হাসপাতাল,100,null,null,41,GOVERNMENT,DISTRICT,null,null,null
Gopalganj Sadar Hospital,গোপালগঞ্জ সদর হাসপাতাল,250,null,null,51,GOVERNMENT,DISTRICT,null,null,null
Hobiganj Sadar hospital,হবিগঞ্জ সদর হাসপাতাল,100,null,null,35,GOVERNMENT,DISTRICT,null,null,null
Jamalpur Sadar Hospital,জামালপুর সদর হাসপাতাল,250,null,null,63,GOVERNMENT,DISTRICT,null,null,null
Jessore Sadar hospital,জেসোরে সদর হাসপাতাল,250,null,null,20,GOVERNMENT,DISTRICT,null,null,null
Jhalokhati Sadar hospital,ঝালকাঠি সদর হাসপাতাল,100,null,null,30,GOVERNMENT,DISTRICT,null,null,null
Jhenaidah Sadar hospital,ঝিনাইদহ সদর হাসপাতাল,100,null,null,29,GOVERNMENT,DISTRICT,null,null,null
Joypurhat Sadar hospital,জয়পুরহাট সদর হাসপাতাল,100,null,null,17,GOVERNMENT,DISTRICT,null,null,null
"Adhunic Zilla Sadar hospital, Khagrachari","আধুনিক জিলা সদর হাসপাতাল, খাগড়াছড়ি",100,null,null,10,GOVERNMENT,DISTRICT,null,null,null
Khulna General Hospital,খুলনা জেনারেল হাসপাতাল,150,null,null,27,GOVERNMENT,DISTRICT,null,null,null
Kishoreganj Sadar Hospital,কিশোরগঞ্জ সদর হাসপাতাল,250,null,null,45,GOVERNMENT,DISTRICT,null,null,null
Kurigram Sadar hospital,কুড়িগ্রাম সদর হাসপাতাল,100,null,null,60,GOVERNMENT,DISTRICT,null,null,null
Kushtia Sadar hospital,কুষ্টিয়া সদর হাসপাতাল,250,null,null,25,GOVERNMENT,DISTRICT,null,null,null
Lalmonirhat Sadar hospital,লালমনিরহাট সদর হাসপাতাল,100,null,null,55,GOVERNMENT,DISTRICT,null,null,null
Laxmipur Sadar Hospital,লক্ষ্মীপুর সদর হাসপাতাল,100,null,null,7,GOVERNMENT,DISTRICT,null,null,null
Madaripur Sadar Hospital,মাদারিপুর সদর হাসপাতাল,100,null,null,50,GOVERNMENT,DISTRICT,null,null,null
Magura Sadar hospital,মাগুরা সদর হাসপাতাল,100,null,null,26,GOVERNMENT,DISTRICT,null,null,null
Manikganj Sadar Hospital,মানিকগঞ্জ সদর হাসপাতাল,100,null,null,46,GOVERNMENT,DISTRICT,null,null,null
Meherpur Sadar hospital,মেহেরপুর সদর হাসপাতাল,100,null,null,22,GOVERNMENT,DISTRICT,null,null,null
Moulovi Bazar Sadar hospital,মৌলভীবাজার সদর হাসপাতাল,250,null,null,37,GOVERNMENT,DISTRICT,null,null,null
Munshiganj Sadar Hospital,মুন্সীগঞ্জ সদর হাসপাতাল,100,null,null,48,GOVERNMENT,DISTRICT,null,null,null
Naogaon Sadar hospital,নওগাঁ সদর হাসপাতাল,100,null,null,19,GOVERNMENT,DISTRICT,null,null,null
Narail Sadar hospital,নড়াইল সদর হাসপাতাল,100,null,null,23,GOVERNMENT,DISTRICT,null,null,null
Narayanganj General Hospital,নারায়ণগঞ্জ জেনারেল হাসপাতাল,200,null,null,43,GOVERNMENT,DISTRICT,null,null,null
Narayanganj Sadar Hospitall,নারায়ণগঞ্জ সদর হাসপাতাল,100,null,null,43,GOVERNMENT,DISTRICT,null,null,null
Narshindi Zilla Hospital,নরসিংদী জেলা হাসপাতাল,100,null,null,40,GOVERNMENT,DISTRICT,null,null,null
Narshindi Sadar Hospital,নরসিংদী সদর হাসপাতাল,100,null,null,40,GOVERNMENT,DISTRICT,null,null,null
Natore Sadar hospital,নাটোর সদর হাসপাতাল,100,null,null,16,GOVERNMENT,DISTRICT,null,null,null
Netrokona Sadar Hospital,নেত্রকোনা সদর হাসপাতাল,100,null,null,64,GOVERNMENT,DISTRICT,null,null,null
Nilphamari Sadar hospital,নীলফামারী সদর হাসপাতাল,100,null,null,56,GOVERNMENT,DISTRICT,null,null,null
Noakhali General Hospital,নোয়াখালী জেনারেল হাসপাতাল,250,null,null,5,GOVERNMENT,DISTRICT,null,null,null
Pabna Sadar hospital,পাবনা সদর হাসপাতাল,250,null,null,13,GOVERNMENT,DISTRICT,null,null,null
Panchagar Sadar hospital,পঞ্চগড় সদর হাসপাতাল,100,null,null,53,GOVERNMENT,DISTRICT,null,null,null
Patuakhali Sadar hospital,পটুয়াখালী সদর হাসপাতাল,250,null,null,31,GOVERNMENT,DISTRICT,null,null,null
Pirojpur Sadar hospital,পিরোজপুর সদর হাসপাতাল,100,null,null,32,GOVERNMENT,DISTRICT,null,null,null
Rajbari Sadar Hospital,রাজবাড়ি সদর হাসপাতাল,100,null,null,49,GOVERNMENT,DISTRICT,null,null,null
Rangamati General Hospital,রাঙ্গামাটি জেনারেল হাসপাতাল,100,null,null,4,GOVERNMENT,DISTRICT,null,null,null
Satkhira Sadar hospital,সাতক্ষীরা সদর হাসপাতাল,100,null,null,21,GOVERNMENT,DISTRICT,null,null,null
Shariatpur Sadar Hospital,শরিয়তপুর সদর হাসপাতাল,100,null,null,42,GOVERNMENT,DISTRICT,null,null,null
Sherpur Sadar Hospital,শেরপুর সদর হাসপাতাল,100,null,null,61,GOVERNMENT,DISTRICT,null,null,null
Serajgonj General Hospital,সিরাজগঞ্জ জেনারেল হাসপাতাল,100,null,null,12,GOVERNMENT,DISTRICT,null,null,null
Sunamganj Sadar hospital,সুনামগঞ্জ সদর হাসপাতাল,250,null,null,39,GOVERNMENT,DISTRICT,null,null,null
Sylhet Sadar Hospital,সিলেট সদর হাসপাতাল,100,null,null,36,GOVERNMENT,DISTRICT,null,null,null
Tangail Sadar Hospital,টাঙ্গাইল সদর হাসপাতাল,250,null,null,44,GOVERNMENT,DISTRICT,null,null,null
Thakorgaon Sadar hospital,ঠাকুরগাঁও সদর হাসপাতাল,100,null,null,58,GOVERNMENT,DISTRICT,null,null,null
Chitalmari Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,223,28,GOVERNMENT,UPAZILA,null,null,null
Fakirhat Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,215,28,GOVERNMENT,UPAZILA,null,null,null
Kachua Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,221,28,GOVERNMENT,UPAZILA,null,null,null
Mollahat Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,217,28,GOVERNMENT,UPAZILA,null,null,null
Mongla Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,222,28,GOVERNMENT,UPAZILA,null,null,null
Morrelganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,220,28,GOVERNMENT,UPAZILA,null,null,null
Rampal Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,219,28,GOVERNMENT,UPAZILA,null,null,null
Sarankhola Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,218,28,GOVERNMENT,UPAZILA,null,null,null
Alikadam Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,98,11,GOVERNMENT,UPAZILA,null,null,null
Lama Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,101,11,GOVERNMENT,UPAZILA,null,null,null
Naikhongchhari Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,99,11,GOVERNMENT,UPAZILA,null,null,null
Rowangchhari Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,100,11,GOVERNMENT,UPAZILA,null,null,null
Ruma Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,102,11,GOVERNMENT,UPAZILA,null,null,null
Thanchi Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,103,11,GOVERNMENT,UPAZILA,null,null,null
Amtali Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,266,35,GOVERNMENT,UPAZILA,null,null,null
Bamna Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,269,35,GOVERNMENT,UPAZILA,null,null,null
Betagi Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,268,35,GOVERNMENT,UPAZILA,null,null,null
Patharghata Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,270,35,GOVERNMENT,UPAZILA,null,null,null
Agailjhara Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,255,33,GOVERNMENT,UPAZILA,null,null,null
Babuganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,251,33,GOVERNMENT,UPAZILA,null,null,null
Bakerganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,250,33,GOVERNMENT,UPAZILA,null,null,null
Banaripara Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,253,33,GOVERNMENT,UPAZILA,null,null,null
Gaurnadi Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,254,33,GOVERNMENT,UPAZILA,null,null,null
Hizla Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,258,33,GOVERNMENT,UPAZILA,null,null,null
Mehendiganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,256,33,GOVERNMENT,UPAZILA,null,null,null
Muladi Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,257,33,GOVERNMENT,UPAZILA,null,null,null
Wazirpur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,252,33,GOVERNMENT,UPAZILA,null,null,null
Burhanuddin Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,260,34,GOVERNMENT,UPAZILA,null,null,null
Charfasson Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,261,34,GOVERNMENT,UPAZILA,null,null,null
Daulatkhan Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,262,34,GOVERNMENT,UPAZILA,null,null,null
Lalmohan Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,265,34,GOVERNMENT,UPAZILA,null,null,null
Manpura Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,263,34,GOVERNMENT,UPAZILA,null,null,null
Tazumuddin Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,264,34,GOVERNMENT,UPAZILA,null,null,null
Adamdighi Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,127,14,GOVERNMENT,UPAZILA,null,null,null
Dhunat Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,130,14,GOVERNMENT,UPAZILA,null,null,null
Dhupchanchia Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,126,14,GOVERNMENT,UPAZILA,null,null,null
Gabtali Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,131,14,GOVERNMENT,UPAZILA,null,null,null
Kahaloo Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,122,14,GOVERNMENT,UPAZILA,null,null,null
Nandigram Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,128,14,GOVERNMENT,UPAZILA,null,null,null
Sariakandi Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,124,14,GOVERNMENT,UPAZILA,null,null,null
Shajahanpur(Majhira) Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,125,14,GOVERNMENT,UPAZILA,null,null,null
Sherpur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,132,14,GOVERNMENT,UPAZILA,null,null,null
Shibganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,159,14,GOVERNMENT,UPAZILA,null,null,null
Sonatola Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,129,14,GOVERNMENT,UPAZILA,null,null,null
Akhaura Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,29,3,GOVERNMENT,UPAZILA,null,null,null
Ashuganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,28,3,GOVERNMENT,UPAZILA,null,null,null
Banchharampur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,31,3,GOVERNMENT,UPAZILA,null,null,null
Kasba Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,25,3,GOVERNMENT,UPAZILA,null,null,null
Nabinagar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,30,3,GOVERNMENT,UPAZILA,null,null,null
Nasirnagar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,26,3,GOVERNMENT,UPAZILA,null,null,null
Sarail Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,27,3,GOVERNMENT,UPAZILA,null,null,null
Faridganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,59,6,GOVERNMENT,UPAZILA,null,null,null
Haim Char Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,52,6,GOVERNMENT,UPAZILA,null,null,null
Hajiganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,57,6,GOVERNMENT,UPAZILA,null,null,null
Kachua Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,221,6,GOVERNMENT,UPAZILA,null,null,null
Matlab North Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,58,6,GOVERNMENT,UPAZILA,null,null,null
Matlab South Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,56,6,GOVERNMENT,UPAZILA,null,null,null
Shahrasti Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,54,6,GOVERNMENT,UPAZILA,null,null,null
Bholahat Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,158,18,GOVERNMENT,UPAZILA,null,null,null
Gomastapur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,156,18,GOVERNMENT,UPAZILA,null,null,null
Nachole Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,157,18,GOVERNMENT,UPAZILA,null,null,null
Shibganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,159,18,GOVERNMENT,UPAZILA,null,null,null
Anowara Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,72,8,GOVERNMENT,UPAZILA,null,null,null
Banshkhali Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,70,8,GOVERNMENT,UPAZILA,null,null,null
Boalkhali Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,71,8,GOVERNMENT,UPAZILA,null,null,null
Chandanaish Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,73,8,GOVERNMENT,UPAZILA,null,null,null
Fatikchhari Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,77,8,GOVERNMENT,UPAZILA,null,null,null
Hathazari Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,76,8,GOVERNMENT,UPAZILA,null,null,null
Lohagara Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,190,8,GOVERNMENT,UPAZILA,null,null,null
Mirsharai Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,67,8,GOVERNMENT,UPAZILA,null,null,null
Patiya Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,68,8,GOVERNMENT,UPAZILA,null,null,null
Rangunia Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,65,8,GOVERNMENT,UPAZILA,null,null,null
Raozan Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,78,8,GOVERNMENT,UPAZILA,null,null,null
Sandwip Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,69,8,GOVERNMENT,UPAZILA,null,null,null
Satkania Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,74,8,GOVERNMENT,UPAZILA,null,null,null
Sitakunda Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,66,8,GOVERNMENT,UPAZILA,null,null,null
Alamdanga Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,193,24,GOVERNMENT,UPAZILA,null,null,null
Damurhuda Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,194,24,GOVERNMENT,UPAZILA,null,null,null
Jiban Nagar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,195,24,GOVERNMENT,UPAZILA,null,null,null
Barura Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,2,1,GOVERNMENT,UPAZILA,null,null,null
Brahmanpara Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,3,1,GOVERNMENT,UPAZILA,null,null,null
Burichang Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,16,1,GOVERNMENT,UPAZILA,null,null,null
Chandina Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,4,1,GOVERNMENT,UPAZILA,null,null,null
Chauddagram Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,5,1,GOVERNMENT,UPAZILA,null,null,null
Daudkandi Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,6,1,GOVERNMENT,UPAZILA,null,null,null
Debidwar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,1,1,GOVERNMENT,UPAZILA,null,null,null
Homna Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,7,1,GOVERNMENT,UPAZILA,null,null,null
Laksam Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,8,1,GOVERNMENT,UPAZILA,null,null,null
Meghna Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,12,1,GOVERNMENT,UPAZILA,null,null,null
Monoharganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,13,1,GOVERNMENT,UPAZILA,null,null,null
Muradnagar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,9,1,GOVERNMENT,UPAZILA,null,null,null
Nangalkot Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,10,1,GOVERNMENT,UPAZILA,null,null,null
Sadar South Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,14,1,GOVERNMENT,UPAZILA,null,null,null
Titas Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,15,1,GOVERNMENT,UPAZILA,null,null,null
Chakaria Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,81,9,GOVERNMENT,UPAZILA,null,null,null
Kutubdia Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,82,9,GOVERNMENT,UPAZILA,null,null,null
Maheshkhali Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,84,9,GOVERNMENT,UPAZILA,null,null,null
Pekua Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,85,9,GOVERNMENT,UPAZILA,null,null,null
Ramu Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,86,9,GOVERNMENT,UPAZILA,null,null,null
Teknaf Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,87,9,GOVERNMENT,UPAZILA,null,null,null
Ukhia Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,83,9,GOVERNMENT,UPAZILA,null,null,null
Dhamrai Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,366,47,GOVERNMENT,UPAZILA,null,null,null
Dohar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,369,47,GOVERNMENT,UPAZILA,null,null,null
Keraniganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,367,47,GOVERNMENT,UPAZILA,null,null,null
Nawabganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,404,47,GOVERNMENT,UPAZILA,null,null,null
Savar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,365,47,GOVERNMENT,UPAZILA,null,null,null
Biral Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,415,54,GOVERNMENT,UPAZILA,null,null,null
Birampur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,407,54,GOVERNMENT,UPAZILA,null,null,null
Birganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,405,54,GOVERNMENT,UPAZILA,null,null,null
Bochaganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,409,54,GOVERNMENT,UPAZILA,null,null,null
Chirirbandar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,416,54,GOVERNMENT,UPAZILA,null,null,null
Ghoraghat Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,406,54,GOVERNMENT,UPAZILA,null,null,null
Hakimpur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,413,54,GOVERNMENT,UPAZILA,null,null,null
Kaharole Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,410,54,GOVERNMENT,UPAZILA,null,null,null
Khansama Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,414,54,GOVERNMENT,UPAZILA,null,null,null
Nawabganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,404,54,GOVERNMENT,UPAZILA,null,null,null
Parbatipur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,408,54,GOVERNMENT,UPAZILA,null,null,null
Phulbari Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,451,54,GOVERNMENT,UPAZILA,null,null,null
Alfadanga Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,391,52,GOVERNMENT,UPAZILA,null,null,null
Bhanga Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,395,52,GOVERNMENT,UPAZILA,null,null,null
Boalmari Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,392,52,GOVERNMENT,UPAZILA,null,null,null
Charbhadrasan Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,396,52,GOVERNMENT,UPAZILA,null,null,null
